execution_time,instance,method,run,value
0.9069833755493164,knapPI_1_10000_1000_1,GA,1,15214.0
0.7540061473846436,knapPI_1_10000_1000_1,GA,2,12817.0
0.9999902248382568,knapPI_1_10000_1000_1,GA,3,14212.0
1.0089983940124512,knapPI_1_10000_1000_1,GA,4,14450.0
0.79502272605896,knapPI_1_10000_1000_1,GA,5,11473.0
0.9270017147064209,knapPI_1_10000_1000_1,GA,6,15289.0
0.8849990367889404,knapPI_1_10000_1000_1,GA,7,15204.0
0.7880003452301025,knapPI_1_10000_1000_1,GA,8,14902.0
0.7629764080047607,knapPI_1_10000_1000_1,GA,9,10167.0
1.0110056400299072,knapPI_1_10000_1000_1,GA,10,16338.0
0.8530046939849854,knapPI_1_1000_1000_1,GA,1,11571.0
0.8649978637695312,knapPI_1_1000_1000_1,GA,2,10693.0
0.8369991779327393,knapPI_1_1000_1000_1,GA,3,11977.0
0.8410220146179199,knapPI_1_1000_1000_1,GA,4,11827.0
0.8420007228851318,knapPI_1_1000_1000_1,GA,5,10720.0
0.7779772281646729,knapPI_1_1000_1000_1,GA,6,11327.0
0.7550215721130371,knapPI_1_1000_1000_1,GA,7,9756.0
0.8179869651794434,knapPI_1_1000_1000_1,GA,8,11801.0
0.7600131034851074,knapPI_1_1000_1000_1,GA,9,10154.0
0.8789999485015869,knapPI_1_1000_1000_1,GA,10,10776.0
0.6130051612854004,knapPI_1_100_1000_1,GA,1,4343.0
0.6020162105560303,knapPI_1_100_1000_1,GA,2,5249.0
0.6479804515838623,knapPI_1_100_1000_1,GA,3,5488.0
0.6180198192596436,knapPI_1_100_1000_1,GA,4,5539.0
0.6040000915527344,knapPI_1_100_1000_1,GA,5,4027.0
0.5940003395080566,knapPI_1_100_1000_1,GA,6,5941.0
0.6199767589569092,knapPI_1_100_1000_1,GA,7,6241.0
0.616002082824707,knapPI_1_100_1000_1,GA,8,6362.0
0.5970032215118408,knapPI_1_100_1000_1,GA,9,5018.0
0.6350154876708984,knapPI_1_100_1000_1,GA,10,5321.0
0.934988260269165,knapPI_1_2000_1000_1,GA,1,15078.0
0.8020141124725342,knapPI_1_2000_1000_1,GA,2,11831.0
0.7769947052001953,knapPI_1_2000_1000_1,GA,3,10063.0
0.8140056133270264,knapPI_1_2000_1000_1,GA,4,12577.0
0.7689828872680664,knapPI_1_2000_1000_1,GA,5,12964.0
0.879000186920166,knapPI_1_2000_1000_1,GA,6,12652.0
0.7890162467956543,knapPI_1_2000_1000_1,GA,7,11892.0
0.945995569229126,knapPI_1_2000_1000_1,GA,8,14287.0
0.7569835186004639,knapPI_1_2000_1000_1,GA,9,11125.0
0.7720181941986084,knapPI_1_2000_1000_1,GA,10,12684.0
0.6069989204406738,knapPI_1_200_1000_1,GA,1,4171.0
0.6330082416534424,knapPI_1_200_1000_1,GA,2,5828.0
0.6179969310760498,knapPI_1_200_1000_1,GA,3,5108.0
0.6079938411712646,knapPI_1_200_1000_1,GA,4,5603.0
0.6060235500335693,knapPI_1_200_1000_1,GA,5,4623.0
0.6059832572937012,knapPI_1_200_1000_1,GA,6,5334.0
0.6209933757781982,knapPI_1_200_1000_1,GA,7,5200.0
0.623999834060669,knapPI_1_200_1000_1,GA,8,5216.0
0.6150052547454834,knapPI_1_200_1000_1,GA,9,5884.0
0.6220152378082275,knapPI_1_200_1000_1,GA,10,4961.0
0.8449888229370117,knapPI_1_5000_1000_1,GA,1,11008.0
0.8030147552490234,knapPI_1_5000_1000_1,GA,2,9519.0
0.7820003032684326,knapPI_1_5000_1000_1,GA,3,12300.0
0.961000919342041,knapPI_1_5000_1000_1,GA,4,15089.0
0.7939810752868652,knapPI_1_5000_1000_1,GA,5,15008.0
0.9019951820373535,knapPI_1_5000_1000_1,GA,6,14370.0
0.8190193176269531,knapPI_1_5000_1000_1,GA,7,13599.0
0.7909808158874512,knapPI_1_5000_1000_1,GA,8,13835.0
0.7990026473999023,knapPI_1_5000_1000_1,GA,9,12340.0
0.765998363494873,knapPI_1_5000_1000_1,GA,10,11405.0
0.7220196723937988,knapPI_1_500_1000_1,GA,1,8844.0
0.7719776630401611,knapPI_1_500_1000_1,GA,2,9222.0
0.748999834060669,knapPI_1_500_1000_1,GA,3,8382.0
0.7519998550415039,knapPI_1_500_1000_1,GA,4,9579.0
0.8210227489471436,knapPI_1_500_1000_1,GA,5,8957.0
0.7250001430511475,knapPI_1_500_1000_1,GA,6,8794.0
0.7659773826599121,knapPI_1_500_1000_1,GA,7,7876.0
0.7930035591125488,knapPI_1_500_1000_1,GA,8,7764.0
0.7979984283447266,knapPI_1_500_1000_1,GA,9,9199.0
0.8500208854675293,knapPI_1_500_1000_1,GA,10,9622.0
2.3089962005615234,knapPI_2_10000_1000_1,GA,1,15220.0
2.342980146408081,knapPI_2_10000_1000_1,GA,2,18857.0
2.262024164199829,knapPI_2_10000_1000_1,GA,3,15937.0
2.3799855709075928,knapPI_2_10000_1000_1,GA,4,13869.0
2.519015312194824,knapPI_2_10000_1000_1,GA,5,14694.0
2.1109747886657715,knapPI_2_10000_1000_1,GA,6,15212.0
2.0880091190338135,knapPI_2_10000_1000_1,GA,7,13373.0
2.1609976291656494,knapPI_2_10000_1000_1,GA,8,13194.0
2.1439929008483887,knapPI_2_10000_1000_1,GA,9,13224.0
2.297023296356201,knapPI_2_10000_1000_1,GA,10,14181.0
1.7649803161621094,knapPI_2_1000_1000_1,GA,1,5767.0
1.9429922103881836,knapPI_2_1000_1000_1,GA,2,5777.0
1.9200241565704346,knapPI_2_1000_1000_1,GA,3,5831.0
1.9459764957427979,knapPI_2_1000_1000_1,GA,4,5919.0
1.7050034999847412,knapPI_2_1000_1000_1,GA,5,5652.0
1.8140032291412354,knapPI_2_1000_1000_1,GA,6,5843.0
1.9179987907409668,knapPI_2_1000_1000_1,GA,7,5879.0
1.7440004348754883,knapPI_2_1000_1000_1,GA,8,5834.0
1.8819949626922607,knapPI_2_1000_1000_1,GA,9,5743.0
1.8370263576507568,knapPI_2_1000_1000_1,GA,10,5840.0
0.7889800071716309,knapPI_2_100_1000_1,GA,1,1337.0
0.7840027809143066,knapPI_2_100_1000_1,GA,2,1272.0
0.8100152015686035,knapPI_2_100_1000_1,GA,3,1307.0
0.9219794273376465,knapPI_2_100_1000_1,GA,4,1341.0
0.805006742477417,knapPI_2_100_1000_1,GA,5,1372.0
0.8209989070892334,knapPI_2_100_1000_1,GA,6,1360.0
0.8310015201568604,knapPI_2_100_1000_1,GA,7,1329.0
0.820990800857544,knapPI_2_100_1000_1,GA,8,1310.0
0.8240227699279785,knapPI_2_100_1000_1,GA,9,1418.0
0.8439838886260986,knapPI_2_100_1000_1,GA,10,1329.0
2.1429831981658936,knapPI_2_2000_1000_1,GA,1,10647.0
2.448995590209961,knapPI_2_2000_1000_1,GA,2,11047.0
2.0290181636810303,knapPI_2_2000_1000_1,GA,3,10418.0
2.313004732131958,knapPI_2_2000_1000_1,GA,4,10950.0
2.191981315612793,knapPI_2_2000_1000_1,GA,5,11028.0
2.172994613647461,knapPI_2_2000_1000_1,GA,6,10520.0
2.104022264480591,knapPI_2_2000_1000_1,GA,7,10630.0
2.3979837894439697,knapPI_2_2000_1000_1,GA,8,11030.0
2.20401668548584,knapPI_2_2000_1000_1,GA,9,10808.0
2.372009754180908,knapPI_2_2000_1000_1,GA,10,10892.0
0.9239840507507324,knapPI_2_200_1000_1,GA,1,1413.0
0.9000189304351807,knapPI_2_200_1000_1,GA,2,1416.0
0.8919973373413086,knapPI_2_200_1000_1,GA,3,1439.0
0.905982494354248,knapPI_2_200_1000_1,GA,4,1339.0
0.9050154685974121,knapPI_2_200_1000_1,GA,5,1431.0
0.9179787635803223,knapPI_2_200_1000_1,GA,6,1357.0
0.8310072422027588,knapPI_2_200_1000_1,GA,7,1352.0
0.8719983100891113,knapPI_2_200_1000_1,GA,8,1470.0
0.9930193424224854,knapPI_2_200_1000_1,GA,9,1376.0
0.9239928722381592,knapPI_2_200_1000_1,GA,10,1428.0
2.1670196056365967,knapPI_2_5000_1000_1,GA,1,12625.0
2.4879980087280273,knapPI_2_5000_1000_1,GA,2,15389.0
2.7229971885681152,knapPI_2_5000_1000_1,GA,3,16515.0
2.344980478286743,knapPI_2_5000_1000_1,GA,4,14428.0
2.000019073486328,knapPI_2_5000_1000_1,GA,5,12725.0
2.411999225616455,knapPI_2_5000_1000_1,GA,6,18861.0
2.6400046348571777,knapPI_2_5000_1000_1,GA,7,17403.0
2.199982166290283,knapPI_2_5000_1000_1,GA,8,12208.0
2.511017084121704,knapPI_2_5000_1000_1,GA,9,18525.0
2.2950003147125244,knapPI_2_5000_1000_1,GA,10,19885.0
1.5199964046478271,knapPI_2_500_1000_1,GA,1,3106.0
1.3830194473266602,knapPI_2_500_1000_1,GA,2,3132.0
1.521977424621582,knapPI_2_500_1000_1,GA,3,3201.0
1.3650009632110596,knapPI_2_500_1000_1,GA,4,3216.0
1.3419990539550781,knapPI_2_500_1000_1,GA,5,3257.0
1.447000503540039,knapPI_2_500_1000_1,GA,6,3308.0
1.3520004749298096,knapPI_2_500_1000_1,GA,7,3243.0
1.2950220108032227,knapPI_2_500_1000_1,GA,8,3292.0
1.3819761276245117,knapPI_2_500_1000_1,GA,9,3126.0
1.2569961547851562,knapPI_2_500_1000_1,GA,10,3125.0
2.440023183822632,knapPI_3_10000_1000_1,GA,1,17190.0
2.5249783992767334,knapPI_3_10000_1000_1,GA,2,15690.0
2.3670217990875244,knapPI_3_10000_1000_1,GA,3,16734.0
2.4279983043670654,knapPI_3_10000_1000_1,GA,4,15839.0
2.331977128982544,knapPI_3_10000_1000_1,GA,5,19417.0
2.380004644393921,knapPI_3_10000_1000_1,GA,6,16735.0
2.398998975753784,knapPI_3_10000_1000_1,GA,7,16976.0
2.136003255844116,knapPI_3_10000_1000_1,GA,8,15004.0
2.7480006217956543,knapPI_3_10000_1000_1,GA,9,17435.0
2.5730013847351074,knapPI_3_10000_1000_1,GA,10,20677.0
2.1320009231567383,knapPI_3_1000_1000_1,GA,1,6657.0
2.260016918182373,knapPI_3_1000_1000_1,GA,2,6977.0
2.226980209350586,knapPI_3_1000_1000_1,GA,3,6986.0
2.234025478363037,knapPI_3_1000_1000_1,GA,4,6856.0
2.118972063064575,knapPI_3_1000_1000_1,GA,5,6697.0
2.3499999046325684,knapPI_3_1000_1000_1,GA,6,7090.0
2.1300230026245117,knapPI_3_1000_1000_1,GA,7,7087.0
2.281975746154785,knapPI_3_1000_1000_1,GA,8,6715.0
2.444023370742798,knapPI_3_1000_1000_1,GA,9,6887.0
2.17699933052063,knapPI_3_1000_1000_1,GA,10,7071.0
1.0690054893493652,knapPI_3_100_1000_1,GA,1,1891.0
0.984015941619873,knapPI_3_100_1000_1,GA,2,1751.0
0.9330005645751953,knapPI_3_100_1000_1,GA,3,1881.0
1.1259794235229492,knapPI_3_100_1000_1,GA,4,1969.0
1.2390038967132568,knapPI_3_100_1000_1,GA,5,1854.0
1.1719999313354492,knapPI_3_100_1000_1,GA,6,1783.0
1.2800166606903076,knapPI_3_100_1000_1,GA,7,1887.0
1.0679776668548584,knapPI_3_100_1000_1,GA,8,1862.0
1.0619995594024658,knapPI_3_100_1000_1,GA,9,1867.0
1.065999984741211,knapPI_3_100_1000_1,GA,10,1827.0
2.7080025672912598,knapPI_3_2000_1000_1,GA,1,12041.0
2.3680007457733154,knapPI_3_2000_1000_1,GA,2,12458.0
2.3560004234313965,knapPI_3_2000_1000_1,GA,3,12153.0
3.0549824237823486,knapPI_3_2000_1000_1,GA,4,12205.0
2.499016523361206,knapPI_3_2000_1000_1,GA,5,11885.0
2.4699997901916504,knapPI_3_2000_1000_1,GA,6,11998.0
3.4619784355163574,knapPI_3_2000_1000_1,GA,7,12044.0
2.5510218143463135,knapPI_3_2000_1000_1,GA,8,11868.0
2.6779978275299072,knapPI_3_2000_1000_1,GA,9,12398.0
2.4109761714935303,knapPI_3_2000_1000_1,GA,10,12056.0
1.1129872798919678,knapPI_3_200_1000_1,GA,1,1779.0
1.1729826927185059,knapPI_3_200_1000_1,GA,2,1882.0
1.0570006370544434,knapPI_3_200_1000_1,GA,3,1797.0
1.205998420715332,knapPI_3_200_1000_1,GA,4,1858.0
1.0429956912994385,knapPI_3_200_1000_1,GA,5,1875.0
1.1050233840942383,knapPI_3_200_1000_1,GA,6,2068.0
1.0159990787506104,knapPI_3_200_1000_1,GA,7,1945.0
1.1439833641052246,knapPI_3_200_1000_1,GA,8,1865.0
1.2980167865753174,knapPI_3_200_1000_1,GA,9,2047.0
1.0959997177124023,knapPI_3_200_1000_1,GA,10,1858.0
2.6119768619537354,knapPI_3_5000_1000_1,GA,1,19291.0
2.419006109237671,knapPI_3_5000_1000_1,GA,2,15054.0
2.5030174255371094,knapPI_3_5000_1000_1,GA,3,20277.0
2.619999408721924,knapPI_3_5000_1000_1,GA,4,19446.0
2.49200177192688,knapPI_3_5000_1000_1,GA,5,18606.0
2.6680002212524414,knapPI_3_5000_1000_1,GA,6,19452.0
2.3109920024871826,knapPI_3_5000_1000_1,GA,7,19709.0
2.3899898529052734,knapPI_3_5000_1000_1,GA,8,15776.0
2.9200029373168945,knapPI_3_5000_1000_1,GA,9,19052.0
2.368013381958008,knapPI_3_5000_1000_1,GA,10,18150.0
1.7450029850006104,knapPI_3_500_1000_1,GA,1,4105.0
1.8319995403289795,knapPI_3_500_1000_1,GA,2,4080.0
1.8730003833770752,knapPI_3_500_1000_1,GA,3,3903.0
2.0239999294281006,knapPI_3_500_1000_1,GA,4,3910.0
1.8379995822906494,knapPI_3_500_1000_1,GA,5,3860.0
1.6819782257080078,knapPI_3_500_1000_1,GA,6,3879.0
1.6430022716522217,knapPI_3_500_1000_1,GA,7,3798.0
1.7020025253295898,knapPI_3_500_1000_1,GA,8,3814.0
1.623995065689087,knapPI_3_500_1000_1,GA,9,3857.0
1.7760229110717773,knapPI_3_500_1000_1,GA,10,3998.0
