instance,method,value,execution_time,run
att48.json,GA,42214.0,7.473872423171997,1
att48.json,ACO,36164,14.458081722259521,1
att48.json,GA,51437,6.914349317550659,2
att48.json,ACO,36659,14.641907691955566,2
att48.json,GA,43498.0,6.941054582595825,3
att48.json,ACO,36921,14.072721481323242,3
att48.json,GA,48249.0,6.853733777999878,4
att48.json,ACO,35582,14.045640707015991,4
att48.json,GA,46228.0,6.876278638839722,5
att48.json,ACO,36628,14.146612405776978,5
att48.json,GA,45766.0,7.065049886703491,6
att48.json,ACO,36375,14.185779333114624,6
att48.json,GA,51385.0,6.896864414215088,7
att48.json,ACO,34495,14.162168741226196,7
att48.json,GA,44289.0,6.861939191818237,8
att48.json,ACO,37112,14.061026334762573,8
att48.json,GA,49667.0,6.956564903259277,9
att48.json,ACO,35365,14.46623158454895,9
att48.json,GA,42513.0,6.789491176605225,10
att48.json,ACO,35645,14.021684646606445,10
fifteen.json,GA,291.0,5.211721181869507,1
fifteen.json,ACO,291,0.5131468772888184,1
fifteen.json,GA,321.0,5.152703046798706,2
fifteen.json,ACO,291,0.5493106842041016,2
fifteen.json,GA,291.0,5.161406755447388,3
fifteen.json,ACO,291,0.5285873413085938,3
fifteen.json,GA,333.0,5.197385787963867,4
fifteen.json,ACO,291,0.5337512493133545,4
fifteen.json,GA,321.0,5.3986804485321045,5
fifteen.json,ACO,291,0.5274038314819336,5
fifteen.json,GA,326.0,5.307729959487915,6
fifteen.json,ACO,291,0.535167932510376,6
fifteen.json,GA,321.0,5.393834114074707,7
fifteen.json,ACO,291,0.5445446968078613,7
fifteen.json,GA,330.0,5.269588232040405,8
fifteen.json,ACO,291,0.5384202003479004,8
fifteen.json,GA,291.0,5.3845508098602295,9
fifteen.json,ACO,291,0.5186140537261963,9
fifteen.json,GA,291.0,5.293747901916504,10
fifteen.json,ACO,291,0.5375621318817139,10
fri26.json,GA,1039.0,5.830274343490601,1
fri26.json,ACO,937,2.034013032913208,1
fri26.json,GA,1117.0,5.77700400352478,2
fri26.json,ACO,968,1.9780714511871338,2
fri26.json,GA,1090.0,5.788623809814453,3
fri26.json,ACO,960,1.984839916229248,3
fri26.json,GA,1000.0,5.872724771499634,4
fri26.json,ACO,955,2.016634941101074,4
fri26.json,GA,970.0,5.806428670883179,5
fri26.json,ACO,943,2.0095646381378174,5
fri26.json,GA,1039.0,5.666515588760376,6
fri26.json,ACO,940,2.0577549934387207,6
fri26.json,GA,1006.0,5.745210647583008,7
fri26.json,ACO,937,2.037684440612793,7
fri26.json,GA,1006.0,5.65983510017395,8
fri26.json,ACO,950,2.005253553390503,8
fri26.json,GA,1132.0,5.702354431152344,9
fri26.json,ACO,937,2.0764780044555664,9
fri26.json,GA,1029.0,5.886790990829468,10
fri26.json,ACO,937,2.045428514480591,10
gr17.json,GA,2182.0,5.319035530090332,1
gr17.json,ACO,2162,0.5914180278778076,1
gr17.json,GA,2085.0,5.380653381347656,2
gr17.json,ACO,2110,0.5694398880004883,2
gr17.json,GA,2154.0,5.273487091064453,3
gr17.json,ACO,2158,0.5870063304901123,3
gr17.json,GA,2085.0,5.312459707260132,4
gr17.json,ACO,2106,0.5776262283325195,4
gr17.json,GA,2136.0,5.365168333053589,5
gr17.json,ACO,2096,0.5664968490600586,5
gr17.json,GA,2136.0,5.283719301223755,6
gr17.json,ACO,2152,0.6003947257995605,6
gr17.json,GA,2167.0,5.347848176956177,7
gr17.json,ACO,2152,0.5721473693847656,7
gr17.json,GA,2154.0,5.2874228954315186,8
gr17.json,ACO,2149,0.5541551113128662,8
gr17.json,GA,2187.0,5.211573123931885,9
gr17.json,ACO,2168,0.5677604675292969,9
gr17.json,GA,2085.0,5.240338087081909,10
gr17.json,ACO,2164,0.5494334697723389,10
gr24.json,GA,1378.0,5.619096279144287,1
gr24.json,ACO,1282,1.5622217655181885,1
gr24.json,GA,1340.0,5.749436140060425,2
gr24.json,ACO,1298,1.6026055812835693,2
gr24.json,GA,1300.0,5.620598554611206,3
gr24.json,ACO,1278,1.6133110523223877,3
gr24.json,GA,1425.0,5.725297451019287,4
gr24.json,ACO,1278,1.5887935161590576,4
gr24.json,GA,1386.0,5.601072072982788,5
gr24.json,ACO,1278,1.5769555568695068,5
gr24.json,GA,1431.0,5.6077330112457275,6
gr24.json,ACO,1278,1.5964114665985107,6
gr24.json,GA,1455.0,5.594192743301392,7
gr24.json,ACO,1278,1.611264705657959,7
gr24.json,GA,1407.0,5.699160575866699,8
gr24.json,ACO,1295,1.5901882648468018,8
gr24.json,GA,1547.0,5.7197675704956055,9
gr24.json,ACO,1326,1.5644760131835938,9
gr24.json,GA,1453.0,5.6177520751953125,10
gr24.json,ACO,1310,1.6065106391906738,10
