instance,method,value,execution_time,run
att48.json,ACO,"37104	1,8,9,38,31,44,18,36,7,28,37,6,30,43,27,19,17,46,15,40,23,14,25,13,11,12,33,20,47,21,39,32,48,5,24,10,35,45,26,4,42,2,29,41,34,3,16,22",15.263100624084473,1
att48.json,ACO,"36947	1,8,38,31,44,7,36,18,28,37,19,6,30,43,27,17,46,33,20,47,21,23,3,16,22,41,34,29,2,26,4,35,45,24,10,42,48,5,32,39,25,14,13,11,12,15,40,9",13.862990856170654,2
att48.json,ACO,"35253	1,9,38,31,44,7,18,36,28,17,43,27,19,37,6,30,46,40,12,15,33,20,47,11,23,14,25,13,21,32,39,48,5,42,24,10,45,35,4,26,2,29,41,34,3,22,16,8",14.057535648345947,3
att48.json,ACO,"35943	1,9,40,15,12,33,46,20,47,21,32,39,5,48,42,10,24,45,35,4,26,2,29,41,16,22,3,34,14,25,13,23,11,7,28,30,43,17,27,19,37,6,36,18,44,31,38,8",13.945653438568115,4
att48.json,ACO,"36093	1,9,38,31,44,7,28,30,6,37,19,27,43,17,36,18,46,33,20,47,21,48,5,29,2,26,4,45,35,10,42,24,32,39,25,14,23,13,11,12,15,40,3,34,41,16,22,8",13.925897121429443,5
att48.json,ACO,"35762	1,9,38,31,44,18,36,7,28,30,6,19,37,27,43,17,20,33,46,15,40,12,47,11,23,14,25,13,21,32,39,48,5,42,24,10,35,45,26,4,2,29,41,34,3,16,22,8",15.022047996520996,6
att48.json,ACO,"37380	1,22,3,16,41,34,14,13,25,48,5,29,2,42,45,35,26,4,10,24,32,39,21,47,11,23,20,12,33,15,40,46,36,18,7,28,30,6,37,19,27,43,17,44,31,38,9,8",15.52872920036316,7
att48.json,ACO,"37387	1,8,38,31,44,18,7,28,36,30,43,27,19,6,37,17,20,33,46,15,12,25,48,5,29,2,26,4,35,45,24,10,42,39,32,21,47,11,23,13,14,34,41,16,22,3,40,9",13.889139890670776,8
att48.json,ACO,"36081	1,9,8,38,31,44,18,7,36,28,30,6,37,19,27,43,17,46,15,40,3,23,11,12,33,20,47,21,13,14,25,39,32,24,42,10,35,45,26,4,2,29,5,48,34,41,16,22",13.813887596130371,9
att48.json,ACO,"37607	1,8,38,31,44,18,7,28,36,43,19,6,37,30,27,17,46,33,12,11,13,25,14,23,3,22,16,41,34,42,48,5,29,2,4,26,35,45,10,24,32,39,21,47,20,15,40,9",13.758119583129883,10
